"Package","DependsPageRank","SuggestsPageRank","ImportsPageRank","Date"
"dfcrm",0.000152996973309611,5.80029052305116e-05,0.000315696006531482,"2009-11-19"
"dglm",0.000152996973309609,5.80029052305116e-05,0.000315696006531482,"2009-11-19"
"DiagnosisMed",0.000152996973309604,5.80029052305116e-05,0.000315696006531482,"2009-11-19"
"diagram",0.000263949617759538,6.96005225522845e-05,0.000315696006531482,"2009-11-19"
"dice",0.000152996973309609,5.80029052305116e-05,0.000315696006531482,"2009-11-19"
"DICOM",0.000152996973309611,5.80029052305116e-05,0.000315696006531482,"2009-11-19"
"DierckxSpline",0.000152996973309607,6.51031108907177e-05,0.000315696006531482,"2009-11-19"
"diffusionMap",0.000152996973309609,5.80029052305116e-05,0.000315696006531482,"2009-11-19"
"difR",0.000152996973309608,5.80029052305116e-05,0.000315696006531482,"2009-11-19"
"digeR",0.000152996973309598,5.80029052305116e-05,0.000315696006531482,"2009-11-19"
"digest",0.00159594816400702,0.000113765107111585,0.00125166994137486,"2009-11-19"
"diseasemapping",0.000152996973309611,5.80029052305116e-05,0.000315696006531482,"2009-11-19"
"dispmod",0.000152996973309611,5.80029052305116e-05,0.000315696006531482,"2009-11-19"
"distr",0.00104452132162531,5.80029052305113e-05,0.000315696006531482,"2009-11-19"
"distrDoc",0.000152996973309597,5.80029052305116e-05,0.000315696006531482,"2009-11-19"
"distrEllipse",0.000152996973309600,5.80029052305115e-05,0.000315696006531482,"2009-11-19"
"distrEx",0.000724376396122494,0.000152106619113883,0.000315696006531482,"2009-11-19"
"distributions",0.000152996973309608,5.80029052305116e-05,0.000315696006531482,"2009-11-19"
"distrMod",0.000347143419942948,7.53993312131709e-05,0.000315696006531482,"2009-11-19"
"distrSim",0.000239210281932468,5.80029052305116e-05,0.000315696006531482,"2009-11-19"
"distrTeach",0.000173170181391410,5.80029052305116e-05,0.000315696006531482,"2009-11-19"
"distrTEst",0.000173170181391407,7.53993312131709e-05,0.000315696006531482,"2009-11-19"
"divagis",0.000152996973309609,5.80029052305116e-05,0.000315696006531482,"2009-11-19"
"diveMove",0.000152996973309608,5.80029052305113e-05,0.000315696006531482,"2009-11-19"
"dlmap",0.000152996973309609,5.80029052305115e-05,0.000315696006531482,"2009-11-19"
